spkid,full_name,diameter,name,velocity,energy,per,moid,pdes,prefix,neo,pha,sats,H,G,M1,M2,K1,K2,PC,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per_y,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A1_sigma,A2,A2_sigma,A3,A3_sigma,DT,DT_sigma
20482111,482111 (2010 NT1),0.383,,24.665731145714908,2.684566646315614e+19,643,0.205,482111,,Y,N,0,19.43,,,,,,,,0.209,,,,,,,,,0.06,43,2461000.5,61000,2025-11-21.0,J2000,0.2179,1.458,1.141,39.53,283.25,306.32,282.00,1.78,0.5596,2461139.87,2026-04-09.3,1.76,79.9,3.48,4.37,1.2e-07,9.4e-09,1.8e-07,1.9e-05,9.3e-06,4.0e-05,5.2e-05,1.1e-08,5.4e-09,9.4e-05,6.2e-06,AMO,Otto Matic,4984,2010-07-01,2024-02-22,150,,,0,.49931,,,,,,,,,
20033342, 33342 (1998 WT24),0.432,,35.13168118852378,7.815180046589087e+19,223,0.0105,33342,,Y,Y,0,18.02,,,,,,,,0.654,3.697,,,,,,,,0.03,215,2461000.5,61000,2025-11-21.0,J2000,0.4177,0.7187,0.419,7.37,81.66,167.52,314.57,1.02,1.618,2461028.59,2025-12-19.0,0.609,4.07,4,7.91,2.2e-09,3.4e-10,1.5e-09,2.9e-07,8.6e-07,5.7e-07,2.6e-06,4.8e-10,1.1e-09,1.6e-06,1.6e-07,ATE,Otto Matic,9571,1998-11-24,2025-02-06,1982,16,1,0,.40841,,,,-2.2e-14,3.4e-16,,,,
20307918,307918 (2004 EU9),0.374,,31.740084254248696,4.139242194387398e+19,302,0.167,307918,,Y,N,0,19.02,,,,,,,,0.358,,,,,,,,,0.05,126,2461000.5,61000,2025-11-21.0,J2000,0.5052,0.8805,0.436,28.58,161.08,202.43,215.48,1.33,1.193,2461121.64,2026-03-22.1,0.826,65.1,4.13,6.53,7.7e-08,1.4e-09,6.8e-08,1.1e-05,6.5e-06,1.3e-05,2.2e-05,2.1e-09,2.8e-09,1.8e-05,7.1e-07,ATE,Otto Matic,7350,2004-03-06,2024-04-20,560,,,0,.49568,,,,,,,,,
20152742,152742 (1998 XE12),0.413,,31.783430241333793,5.58909600962103e+19,301,0.112,152742,,Y,N,0,19.10,,,,,,,,0.264,,,,,,,,,0.01,131,2461000.5,61000,2025-11-21.0,J2000,0.7392,0.8781,0.229,13.43,280.01,353.17,16.51,1.53,1.198,2460986.72,2025-11-07.2,0.823,43.5,3.6,6.46,4.1e-08,5.2e-09,3.6e-08,8.3e-06,1.2e-05,1.3e-05,1.3e-05,9.0e-09,1.1e-08,1.1e-05,2.7e-06,ATE,Otto Matic,10285,1995-11-30,2024-01-27,565,,,0,.41313,,,,1.8e-14,4.7e-15,,,,
20496962,496962 (2002 GP186),0.175,,26.273697269145032,2.9056708101942047e+18,532,0.0813,496962,,Y,N,0,20.31,,,,,,,,0.439,,,,,,,,,0.04,36,2461000.5,61000,2025-11-21.0,J2000,0.3311,1.285,0.859,8.11,31.17,24.85,194.80,1.71,0.6767,2461244.61,2026-07-23.1,1.46,31.7,3.66,4.98,4.1e-08,4.7e-09,5.5e-08,5.2e-06,3.0e-05,3.0e-05,1.9e-05,6.3e-09,3.7e-09,3.0e-05,2.9e-06,APO,Otto Matic,8100,2002-04-03,2024-06-06,119,,,0,.60928,,,,,,,,,
20141531,141531 (2002 GB),0.303,,29.90164152071802,1.953474867017584e+19,361,0.28,141531,,Y,N,0,19.15,,,,,,,,0.482,73.,,,,,,,,0.01,187,2461000.5,61000,2025-11-21.0,J2000,0.5290,0.9921,0.467,22.55,40.80,8.33,40.90,1.52,0.9974,2460959.49,2025-10-10.9,0.988,109,3.89,5.93,8.7e-09,2.2e-09,8.6e-09,5.1e-07,5.0e-07,4.6e-07,5.3e-06,3.3e-09,3.3e-09,5.2e-06,1.2e-06,ATE,Otto Matic,7962,2002-04-01,2024-01-18,890,,,0,.58636,,,,2.4e-14,3.9e-15,,,,
20469445,469445 (2002 LT24),0.143,,35.097513515512226,2.8291156013578614e+18,223,0.0114,469445,,Y,N,0,22.14,,,,,,,,0.136,,,,,,,,,0.02,67,2461000.5,61000,2025-11-21.0,J2000,0.4958,0.7201,0.363,0.77,165.65,283.09,302.27,1.08,1.613,2461036.29,2025-12-26.7,0.611,4.43,4.14,7.87,5.4e-08,9.9e-10,3.9e-08,2.0e-06,5.4e-04,5.4e-04,3.0e-05,1.5e-09,3.3e-09,1.8e-05,4.6e-07,ATE,Otto Matic,8065,2002-06-09,2024-07-08,287,,,0,.40714,,,,-6.0e-14,1.3e-15,,,,
20518810,518810 (2010 CF19),0.083,,27.26795279985722,3.339098462750636e+17,476,0.0321,518810,,Y,Y,0,21.85,,,,,,,,0.448,,,,,,,,,0.01,46,2461000.5,61000,2025-11-21.0,J2000,0.2699,1.193,0.871,7.18,154.70,265.32,85.37,1.52,0.7563,2460887.62,2025-07-31.1,1.3,12.5,3.81,5.28,5.1e-08,8.3e-09,6.6e-08,8.0e-06,1.6e-05,2.3e-05,4.7e-05,1.1e-08,7.9e-09,6.1e-05,5.0e-06,APO,Otto Matic,3020,2010-02-14,2018-05-23,180,0,1,0,.41389,,,,,,,,,
20618348,618348 (2016 PN),0.16,,32.14045524792322,3.323180090165456e+18,291,0.0695,618348,,Y,N,0,20.22,,,,,,,,0.495,5.455,,,,,,,,0.07,51,2461000.5,61000,2025-11-21.0,J2000,0.3323,0.8587,0.573,21.60,126.04,23.68,22.80,1.14,1.239,2460982.09,2025-11-02.5,0.796,27,3.88,6.77,2.1e-07,3.2e-09,1.8e-07,2.1e-05,5.1e-06,2.1e-05,4.1e-05,4.3e-09,6.9e-09,3.3e-05,1.6e-06,ATE,Otto Matic,4404,2012-08-05,2024-08-26,315,,,0,.32048,,,,,,,,,
20462238,462238 (2008 CN1),0.227,,33.92799950152112,1.0575087246806854e+19,247,0.0336,462238,,Y,Y,0,20.66,,,,,,,,0.197,6.0555,,,,,,,,0.00,62,2461000.5,61000,2025-11-21.0,J2000,0.3478,0.7706,0.503,7.22,331.43,7.29,249.03,1.04,1.457,2461076.66,2026-02-05.1,0.676,13.1,4.3,7.47,7.8e-08,1.0e-08,6.1e-08,9.2e-06,7.9e-06,2.1e-05,2.0e-04,1.3e-08,2.8e-08,1.4e-04,4.8e-06,ATE,Otto Matic,2945,2008-02-02,2016-02-25,568,,,1,.35607,,,,,,,,,
20041429, 41429 (2000 GE2),0.204,,23.59743875050465,3.712873208275265e+18,734,0.0111,41429,,Y,Y,0,20.66,,,,,,,,0.267,,,,,,,,,0.03,99,2461000.5,61000,2025-11-21.0,J2000,0.5556,1.593,0.708,2.17,351.79,297.37,238.87,2.48,0.4903,2461247.54,2026-07-26.0,2.01,4.33,2.72,4.19,3.5e-08,5.0e-09,5.4e-08,4.1e-06,6.3e-05,6.5e-05,2.0e-05,7.8e-09,2.3e-09,4.1e-05,3.5e-06,APO,Otto Matic,9749,1998-03-25,2024-12-02,440,,,0,.63323,,,,,,,,,
20468468,468468 (2004 KH17),0.197,,35.291634334225094,7.478803133591887e+18,220,0.0047,468468,,Y,Y,0,22.01,,,,,,,,0.072,,,,,,,,,0.01,64,2461000.5,61000,2025-11-21.0,J2000,0.4981,0.7122,0.357,22.13,79.11,340.73,112.10,1.07,1.64,2460932.15,2025-09-13.6,0.601,1.83,4.27,7.9,1.0e-07,3.8e-09,7.1e-08,3.0e-05,1.1e-05,1.6e-05,3.9e-05,5.6e-09,1.3e-08,2.4e-05,1.7e-06,ATE,Otto Matic,7673,2004-05-29,2025-06-01,248,1,0,0,.41603,,,,-6.7e-14,4.1e-15,,,,
20164207,164207 Cardea (2004 GU9),0.163,Cardea,29.768415352054774,3.01414491008111e+18,366,0.00309,164207,,Y,Y,0,21.19,,,,,,,,0.219,,,,,,,,,0.01,104,2461000.5,61000,2025-11-21.0,J2000,0.1359,1.001,0.865,13.65,38.39,279.34,97.33,1.14,0.984,2460901.58,2025-08-14.0,1,1.2,4.01,6.04,1.5e-07,4.2e-09,1.5e-07,8.9e-06,1.0e-05,1.8e-05,2.5e-05,4.8e-09,6.2e-09,2.5e-05,2.3e-06,APO,Otto Matic,8688,2001-05-11,2025-02-22,346,,,0,.53296,,,,-5.8e-14,7.6e-15,,,,
